identityKey,院校名称,院校专业组代码,专业代码,专业名称,专业类,规范专业类,风险等级,标色建议,组内核心簇,风险说明_严格版
211109+23,上海师范大学,211109,23,土木工程,土木类,土木类,橙色中危,橙色,土木建筑；机械智能制造,机械/智能制造与土木建筑不是同一报考热度层级，土建方向在智能制造组中需单独标注。；硬实力提示：有本专业相关硕士点，专业水平：省一；但硬实力不抵消方向/热度落差。
212304+06,上海应用技术大学,212304,06,材料科学与工程,材料类,材料类,橙色中危,橙色,材料；机械智能制造；电子信息集成电路；计算机软件；电气电力,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；硬实力提示：有本专业相关硕士点，专业水平：国一；但硬实力不抵消方向/热度落差。
212304+07,上海应用技术大学,212304,07,复合材料与工程,材料类,材料类,橙色中危,橙色,材料；机械智能制造；电子信息集成电路；计算机软件；电气电力,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；硬实力提示：有本专业相关硕士点，专业水平：省一；但硬实力不抵消方向/热度落差。
212304+14,上海应用技术大学,212304,14,应用化学,化学类,化学类,橙色中危,橙色,材料；机械智能制造；电子信息集成电路；计算机软件；电气电力,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。
800204+14,上海建桥学院,800204,14,工程管理,管理科学与工程类,管理科学与工程类,橙色中危,橙色,经财金融,与组内主体距离≥4，属于远缘混入。；硬实力提示：专业水平：省一；但硬实力不抵消方向/热度落差。
800206+23,上海建桥学院,800206,23,宝石及材料工艺学,材料类,材料类,橙色中危,橙色,电子信息集成电路；机械智能制造,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；硬实力提示：专业水平：省一；但硬实力不抵消方向/热度落差。
212504+23,上海政法学院,212504,23,新闻学,新闻传播学类,新闻传播学类,橙色中危,橙色,经财金融；商科管理,与组内主体距离≥4，属于远缘混入。；硬实力提示：有本专业相关硕士点；但硬实力不抵消方向/热度落差。
211704+11,上海海事大学,211704,11,电气工程及其自动化,电气类,电气类,橙色中危,橙色,交通海洋工程；水利农业工程,与组内主体距离≥4，属于远缘混入。；硬实力提示：学科评估：四轮：C+，有本专业相关博士点，专业水平：省一；但硬实力不抵消方向/热度落差。
211704+12,上海海事大学,211704,12,计算机科学与技术,计算机类,计算机类,橙色中危,橙色,交通海洋工程；水利农业工程,与组内主体距离≥4，属于远缘混入。；硬实力提示：学科评估：四轮：C-，有本专业相关硕士点，专业水平：省一；但硬实力不抵消方向/热度落差。
211802+04,上海电力大学,211802,04,能源与动力工程,能源动力类,能源动力类,橙色中危,橙色,电气电力；计算机软件；电子信息集成电路；自动化仪器控制,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；硬实力提示：学科评估：四轮：C+，有本专业相关博士点，专业水平：国特；但硬实力不抵消方向/热度落差。
211802+06,上海电力大学,211802,06,新能源科学与工程,能源动力类,能源动力类,橙色中危,橙色,电气电力；计算机软件；电子信息集成电路；自动化仪器控制,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；硬实力提示：学科评估：四轮：C+，有本专业相关博士点；但硬实力不抵消方向/热度落差。
211802+07,上海电力大学,211802,07,核工程与核技术,核工程类,核工程类,橙色中危,橙色,电气电力；计算机软件；电子信息集成电路；自动化仪器控制,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。
211802+08,上海电力大学,211802,08,新能源材料与器件,材料类,材料类,橙色中危,橙色,电气电力；计算机软件；电子信息集成电路；自动化仪器控制,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；与组内主体距离=3且热度落差较明显。；硬实力提示：有本专业相关硕士点；但硬实力不抵消方向/热度落差。
211802+18,上海电力大学,211802,18,应用物理学,物理学类,物理学类,橙色中危,橙色,电气电力；计算机软件；电子信息集成电路；自动化仪器控制,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；硬实力提示：有本专业相关硕士点；但硬实力不抵消方向/热度落差。
213602+08,上海电机学院,213602,08,电子信息材料,材料类,材料类,橙色中危,橙色,航空航天；计算机软件；自动化仪器控制；电气电力,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；与组内主体距离=3且热度落差较明显。；硬实力提示：有本专业相关硕士点；但硬实力不抵消方向/热度落差。
213602+09,上海电机学院,213602,09,应用物理学,物理学类,物理学类,橙色中危,橙色,航空航天；计算机软件；自动化仪器控制；电气电力,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。
212901+09,上海科技大学,212901,09,工业设计,机械类,机械类,橙色中危,橙色,生物生工；数学统计天文,与组内主体距离≥4，属于远缘混入。；硬实力提示：有本专业相关硕士点；但硬实力不抵消方向/热度落差。
213701+14,上海立信会计金融学院,213701,14,法学,法学类,法学类,橙色中危,橙色,商科管理；经财金融,与组内主体距离≥4，属于远缘混入。
213701+15,上海立信会计金融学院,213701,15,汉语言文学,中国语言文学类,中国语言文学类,橙色中危,橙色,商科管理；经财金融,与组内主体距离≥4，属于远缘混入。
213702+36,上海立信会计金融学院,213702,36,法学,法学类,法学类,橙色中危,橙色,经财金融；商科管理,与组内主体距离≥4，属于远缘混入。
802303+07,上海立达学院,802303,07,智能制造工程技术,机械设计制造类,机械设计制造类,橙色中危,橙色,经财金融；商科管理；文史哲法社,与组内主体距离≥4，属于远缘混入。
212404+12,上海第二工业大学,212404,12,新能源科学与工程,能源动力类,能源动力类,橙色中危,橙色,自动化仪器控制；机械智能制造；计算机软件,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；硬实力提示：有本专业相关硕士点；但硬实力不抵消方向/热度落差。
211001+06,上海财经大学,211001,06,法学,法学类,法学类,橙色中危,橙色,商科管理；经财金融,与组内主体距离≥4，属于远缘混入。；硬实力提示：学科评估：四轮：B，有本专业相关博士点，专业水平：国一；但硬实力不抵消方向/热度落差。
211001+07,上海财经大学,211001,07,法学,法学类,法学类,橙色中危,橙色,商科管理；经财金融,与组内主体距离≥4，属于远缘混入。；硬实力提示：学科评估：四轮：B，有本专业相关博士点，专业水平：国一；但硬实力不抵消方向/热度落差。
211005+27,上海财经大学,211005,27,法学,法学类,法学类,橙色中危,橙色,经财金融,与组内主体距离≥4，属于远缘混入。；硬实力提示：学科评估：四轮：B，有本专业相关博士点，专业水平：国一；但硬实力不抵消方向/热度落差。
257101+02,上饶师范学院,257101,02,国际经济与贸易,经济与贸易类,经济与贸易类,橙色中危,橙色,文史哲法社；公管服务旅游,与组内主体距离≥4，属于远缘混入。
257104+14,上饶师范学院,257104,14,物理学,物理学类,物理学类,橙色中危,橙色,电子信息集成电路；材料；农林牧渔；数学统计天文,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；硬实力提示：有本专业相关硕士点；但硬实力不抵消方向/热度落差。
257104+15,上饶师范学院,257104,15,光电信息材料与器件,材料类,材料类,橙色中危,橙色,电子信息集成电路；材料；农林牧渔；数学统计天文,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。
257104+16,上饶师范学院,257104,16,化学,化学类,化学类,橙色中危,橙色,电子信息集成电路；材料；农林牧渔；数学统计天文,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；硬实力提示：有本专业相关硕士点，专业水平：国特；但硬实力不抵消方向/热度落差。
257104+17,上饶师范学院,257104,17,材料科学与工程,材料类,材料类,橙色中危,橙色,电子信息集成电路；材料；农林牧渔；数学统计天文,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。
430402+05,东北农业大学,430402,05,新能源科学与工程,能源动力类,能源动力类,橙色中危,橙色,食品；计算机软件；电子信息集成电路；电气电力,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；硬实力提示：有本专业相关硕士点；但硬实力不抵消方向/热度落差。
410105+10,东北大学,410105,10,应用物理学,物理学类,物理学类,橙色中危,橙色,计算机软件；电子信息集成电路；自动化仪器控制,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；硬实力提示：学科评估：四轮：B-，有本专业相关博士点，专业水平：国一；但硬实力不抵消方向/热度落差。
410105+11,东北大学,410105,11,工程力学,力学类,力学类,橙色中危,橙色,计算机软件；电子信息集成电路；自动化仪器控制,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；硬实力提示：学科评估：四轮：C，有本专业相关博士点，专业水平：省一；但硬实力不抵消方向/热度落差。
410105+12,东北大学,410105,12,化学类,化学类,化学类,橙色中危,橙色,计算机软件；电子信息集成电路；自动化仪器控制,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；与组内主体距离较远且热度落差明显。；硬实力提示：学科评估：四轮：B，有本专业相关博士点，专业水平：国一；但硬实力不抵消方向/热度落差。
410105+15,东北大学,410105,15,新能源材料与器件,材料类,材料类,橙色中危,橙色,计算机软件；电子信息集成电路；自动化仪器控制,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；与组内主体距离=3且热度落差较明显。；硬实力提示：学科评估：四轮：A-；五轮：A-，有本专业相关博士点；但硬实力不抵消方向/热度落差。
410105+16,东北大学,410105,16,能源与动力工程,能源动力类,能源动力类,橙色中危,橙色,计算机软件；电子信息集成电路；自动化仪器控制,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；硬实力提示：学科评估：四轮：B-，有本专业相关博士点，专业水平：国一；但硬实力不抵消方向/热度落差。
410105+17,东北大学,410105,17,新能源科学与工程,能源动力类,能源动力类,橙色中危,橙色,计算机软件；电子信息集成电路；自动化仪器控制,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；硬实力提示：学科评估：四轮：B-，有本专业相关博士点，专业水平：省一；但硬实力不抵消方向/热度落差。
410105+18,东北大学,410105,18,材料类,材料类,材料类,橙色中危,橙色,计算机软件；电子信息集成电路；自动化仪器控制,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；与组内主体距离=3且热度落差较明显。；硬实力提示：学科评估：四轮：A-；五轮：A-，有本专业相关博士点，专业水平：国一/国特/国重/省重/双一流；但硬实力不抵消方向/热度落差。
332203+10,东北大学秦皇岛分校,332203,10,材料类,材料类,材料类,橙色中危,橙色,自动化仪器控制；机械智能制造；计算机软件；电子信息集成电路,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；硬实力提示：学科评估：四轮：A-，有本专业相关博士点，专业水平：国特/国重/省重；但硬实力不抵消方向/热度落差。
420210+12,东北师范大学,420210,12,物理学类,物理学类,物理学类,橙色中危,橙色,计算机软件；数学统计天文；物理力学大气海洋,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；硬实力提示：学科评估：四轮：B+，有本专业相关博士点，专业水平：国一/国特；但硬实力不抵消方向/热度落差。
430305+23,东北林业大学,430305,23,化学,化学类,化学类,橙色中危,橙色,计算机软件；生物生工；化学,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；硬实力提示：有本专业相关博士点，专业水平：省一；但硬实力不抵消方向/热度落差。
423104+07,东北电力大学,423104,07,能源与动力工程,能源动力类,能源动力类,橙色中危,橙色,能源动力核石油；计算机软件；电子信息集成电路；自动化仪器控制,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；硬实力提示：学科评估：四轮：B-，有本专业相关博士点，专业水平：国一/国特/省重/卓越工程；但硬实力不抵消方向/热度落差。
423104+08,东北电力大学,423104,08,核工程与核技术,核工程类,核工程类,橙色中危,橙色,能源动力核石油；计算机软件；电子信息集成电路；自动化仪器控制,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；硬实力提示：有本专业相关硕士点，专业水平：国一；但硬实力不抵消方向/热度落差。
423104+11,东北电力大学,423104,11,氢能科学与工程,能源动力类,能源动力类,橙色中危,橙色,能源动力核石油；计算机软件；电子信息集成电路；自动化仪器控制,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；硬实力提示：学科评估：四轮：B-，有本专业相关博士点；但硬实力不抵消方向/热度落差。
432102+05,东北石油大学,432102,05,化学工程与工艺,化工与制药类,化工与制药类,橙色中危,橙色,地矿地球物理；自动化仪器控制；计算机软件；电子信息集成电路；电气电力,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；与组内主体距离较远且热度落差明显。；硬实力提示：学科评估：四轮：B，有本专业相关博士点，专业水平：国一/国特；但硬实力不抵消方向/热度落差。
432102+12,东北石油大学,432102,12,储能科学与工程,能源动力类,能源动力类,橙色中危,橙色,地矿地球物理；自动化仪器控制；计算机软件；电子信息集成电路；电气电力,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；硬实力提示：学科评估：四轮：C，有本专业相关硕士点；但硬实力不抵消方向/热度落差。
210502+06,东华大学,210502,06,管理科学与工程类,管理科学与工程类,管理科学与工程类,橙色中危,橙色,化工轻纺,与组内主体距离≥4，属于远缘混入。；硬实力提示：学科评估：四轮：B，有本专业相关博士点，专业水平：国一；但硬实力不抵消方向/热度落差。
210502+07,东华大学,210502,07,机械工程,机械类,机械类,橙色中危,橙色,化工轻纺,与组内主体距离≥4，属于远缘混入。；硬实力提示：学科评估：四轮：B，有本专业相关博士点，专业水平：国一/卓越工程；但硬实力不抵消方向/热度落差。
210503+17,东华大学,210503,17,生物医学工程,生物医学工程类,生物医学工程类,橙色中危,橙色,材料,与组内主体距离≥4，属于远缘混入。；硬实力提示：学科评估：四轮：C-，有本专业相关硕士点；但硬实力不抵消方向/热度落差。
210504+24,东华大学,210504,24,管理科学与工程类,管理科学与工程类,管理科学与工程类,橙色中危,橙色,电子信息集成电路；机械智能制造；计算机软件,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；硬实力提示：学科评估：四轮：B，有本专业相关博士点，专业水平：国一；但硬实力不抵消方向/热度落差。
210504+28,东华大学,210504,28,物理学类,物理学类,物理学类,橙色中危,橙色,电子信息集成电路；机械智能制造；计算机软件,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；硬实力提示：学科评估：四轮：C-，有本专业相关硕士点，专业水平：省一/国特；但硬实力不抵消方向/热度落差。
254101+08,东华理工大学,254101,08,测控技术与仪器,仪器类,仪器类,橙色中危,橙色,地矿地球物理,与组内主体距离≥4，属于远缘混入。
254101+21,东华理工大学,254101,21,电子科学与技术,电子信息类,电子信息类,橙色中危,橙色,地矿地球物理,与组内主体距离≥4，属于远缘混入。；硬实力提示：有本专业相关硕士点；但硬实力不抵消方向/热度落差。
110209+22,东南大学,110209,22,生物医学工程类,生物医学工程类,生物医学工程类,橙色中危,橙色,土木建筑,与组内主体距离≥4，属于远缘混入。；硬实力提示：学科评估：四轮：A+；五轮：A+，有本专业相关博士点，专业水平：国一/国重/省重/双一流；但硬实力不抵消方向/热度落差。
110212+42,东南大学,110212,42,能源与动力工程,能源动力类,能源动力类,橙色中危,橙色,其他/未归类,与组内主体距离≥4，属于远缘混入。；硬实力提示：学科评估：四轮：B+；五轮：A-，有本专业相关博士点，专业水平：国一；但硬实力不抵消方向/热度落差。
110215+53,东南大学,110215,53,新能源科学与工程,能源动力类,能源动力类,橙色中危,橙色,能源动力核石油；自动化仪器控制；机械智能制造,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；硬实力提示：学科评估：四轮：B+；五轮：A-，有本专业相关博士点；但硬实力不抵消方向/热度落差。
340208+29,中北大学,340208,29,船舶与海洋工程,海洋工程类,海洋工程类,橙色中危,橙色,电气电力；交通海洋工程；自动化仪器控制,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。
340209+31,中北大学,340209,31,应用物理学,物理学类,物理学类,橙色中危,橙色,化学,与组内主体距离≥4，属于远缘混入。；硬实力提示：有本专业相关硕士点；但硬实力不抵消方向/热度落差。
530204+12,中南大学,530204,12,土木工程,土木类,土木类,橙色中危,橙色,数学统计天文；机械智能制造；交通海洋工程,机械/智能制造与土木建筑不是同一报考热度层级，土建方向在智能制造组中需单独标注。；硬实力提示：学科评估：四轮：A-；五轮：A-，有本专业相关博士点，专业水平：国一；但硬实力不抵消方向/热度落差。
530205+14,中南大学,530205,14,化工与制药类,化工与制药类,化工与制药类,橙色中危,橙色,材料；计算机软件；自动化仪器控制,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；硬实力提示：学科评估：四轮：B+；五轮：A-，有本专业相关博士点，专业水平：国一/国特/省重；但硬实力不抵消方向/热度落差。
530205+15,中南大学,530205,15,材料类,材料类,材料类,橙色中危,橙色,材料；计算机软件；自动化仪器控制,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；硬实力提示：学科评估：四轮：A-；五轮：A，有本专业相关博士点，专业水平：国一/国特/双一流/国重/省重；但硬实力不抵消方向/热度落差。
530206+24,中南大学,530206,24,能源动力类,能源动力类,能源动力类,橙色中危,橙色,电子信息集成电路；计算机软件,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；与组内主体距离=3且热度落差较明显。；硬实力提示：学科评估：四轮：B-，有本专业相关博士点，专业水平：国一/省重；但硬实力不抵消方向/热度落差。
533105+20,中南林业科技大学,533105,20,机械设计制造及其自动化,机械类,机械类,橙色中危,橙色,农林牧渔,与组内主体距离≥4，属于远缘混入。；硬实力提示：有本专业相关硕士点，专业水平：国一/国特；但硬实力不抵消方向/热度落差。
533105+23,中南林业科技大学,533105,23,通信工程,电子信息类,电子信息类,橙色中危,橙色,农林牧渔,与组内主体距离≥4，属于远缘混入。；硬实力提示：有本专业相关硕士点；但硬实力不抵消方向/热度落差。
533105+24,中南林业科技大学,533105,24,机器人工程,自动化类,自动化类,橙色中危,橙色,农林牧渔,与组内主体距离≥4，属于远缘混入。
520804+11,中南民族大学,520804,11,信息管理与信息系统,管理科学与工程类,管理科学与工程类,橙色中危,橙色,经财金融；教育心理体育,与组内主体距离≥4，属于远缘混入。；硬实力提示：有本专业相关硕士点，专业水平：国一；但硬实力不抵消方向/热度落差。
510303+03,中原工学院,510303,03,化学工程与工艺,化工与制药类,化工与制药类,橙色中危,橙色,化工轻纺；计算机软件；电子信息集成电路；电气电力,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；硬实力提示：有本专业相关硕士点；但硬实力不抵消方向/热度落差。
310204+06,中国人民大学,310204,06,法学,法学类,法学类,橙色中危,橙色,经财金融,与组内主体距离≥4，属于远缘混入。；硬实力提示：学科评估：四轮：A+；五轮：A+，有本专业相关博士点，专业水平：国一/国特/双一流/国重；但硬实力不抵消方向/热度落差。
310204+07,中国人民大学,310204,07,新闻传播学类,新闻传播学类,新闻传播学类,橙色中危,橙色,经财金融,与组内主体距离≥4，属于远缘混入。；硬实力提示：学科评估：四轮：A+；五轮：A+，有本专业相关博士点，专业水平：国一/国特/双一流/国重；但硬实力不抵消方向/热度落差。
126502+05,中国人民大学(苏州校区),126502,05,传播学,新闻传播学类,新闻传播学类,橙色中危,橙色,经财金融,与组内主体距离≥4，属于远缘混入。；硬实力提示：学科评估：四轮：A+，有本专业相关博士点；但硬实力不抵消方向/热度落差。
020309+26,中国人民警察大学,020309,26,电子信息工程,电子信息类,电子信息类,橙色中危,橙色,法学公安,与组内主体距离≥4，属于远缘混入。；硬实力提示：专业水平：省一；但硬实力不抵消方向/热度落差。
311006+19,中国农业大学,311006,19,工程力学,力学类,力学类,橙色中危,橙色,水利农业工程；电子信息集成电路；计算机软件,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；硬实力提示：有本专业相关硕士点，专业水平：省一；但硬实力不抵消方向/热度落差。
311007+24,中国农业大学,311007,24,生物科学类,生物科学类,生物科学类,橙色中危,橙色,农林牧渔,与组内主体距离≥4，属于远缘混入。；硬实力提示：学科评估：四轮：A；五轮：A，有本专业相关博士点，专业水平：国一/双一流/生物科学拔尖学生培养基地；但硬实力不抵消方向/热度落差。
311007+29,中国农业大学,311007,29,生物技术,生物科学类,生物科学类,橙色中危,橙色,农林牧渔,与组内主体距离≥4，属于远缘混入。；硬实力提示：学科评估：四轮：A；五轮：A，有本专业相关博士点，专业水平：国一；但硬实力不抵消方向/热度落差。
316901+03,中国劳动关系学院,316901,03,劳动经济学,经济学类,经济学类,橙色中危,橙色,公管服务旅游；文史哲法社,与组内主体距离≥4，属于远缘混入。；硬实力提示：专业水平：国特；但硬实力不抵消方向/热度落差。
316902+11,中国劳动关系学院,316902,11,法学,法学类,法学类,橙色中危,橙色,公管服务旅游；商科管理；经财金融,与组内主体距离≥4，属于远缘混入。；硬实力提示：有本专业相关硕士点，专业水平：国一/国特；但硬实力不抵消方向/热度落差。
311109+36,中国地质大学(北京),311109,36,计算机科学与技术,计算机类,计算机类,橙色中危,橙色,材料,与组内主体距离≥4，属于远缘混入。；硬实力提示：学科评估：四轮：B，有本专业相关硕士点，专业水平：国一/省重；但硬实力不抵消方向/热度落差。
520501+04,中国地质大学(武汉),520501,04,法学,法学类,法学类,橙色中危,橙色,商科管理；经财金融；公管服务旅游,与组内主体距离≥4，属于远缘混入。；硬实力提示：有本专业相关硕士点，专业水平：省一；但硬实力不抵消方向/热度落差。
520502+09,中国地质大学(武汉),520502,09,数字经济,经济学类,经济学类,橙色中危,橙色,材料,与组内主体距离≥4，属于远缘混入。
520507+28,中国地质大学(武汉),520507,28,数字经济,经济学类,经济学类,橙色中危,橙色,材料,与组内主体距离≥4，属于远缘混入。
520507+32,中国地质大学(武汉),520507,32,数学类,数学类,数学类,橙色中危,橙色,材料,与组内主体距离≥4，属于远缘混入。；硬实力提示：学科评估：四轮：C，有本专业相关博士点，专业水平：国一；但硬实力不抵消方向/热度落差。
520507+33,中国地质大学(武汉),520507,33,物理学,物理学类,物理学类,橙色中危,橙色,材料,与组内主体距离≥4，属于远缘混入。；硬实力提示：学科评估：四轮：C-，有本专业相关硕士点，专业水平：省一；但硬实力不抵消方向/热度落差。
520510+44,中国地质大学(武汉),520510,44,大气科学,大气科学类,大气科学类,橙色中危,橙色,地矿地球物理；环境安全生态；电子信息集成电路；计算机软件；自动化仪器控制,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；硬实力提示：有本专业相关硕士点；但硬实力不抵消方向/热度落差。
520510+53,中国地质大学(武汉),520510,53,新能源科学与工程,能源动力类,能源动力类,橙色中危,橙色,地矿地球物理；环境安全生态；电子信息集成电路；计算机软件；自动化仪器控制,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；硬实力提示：有本专业相关硕士点；但硬实力不抵消方向/热度落差。
311202+08,中国政法大学,311202,08,工商管理,工商管理类,工商管理类,橙色中危,橙色,法学公安；文史哲法社,与组内主体距离≥4，属于远缘混入。；硬实力提示：有本专业相关硕士点，专业水平：国一；但硬实力不抵消方向/热度落差。
030604+24,中国民用航空飞行学院,030604,24,新能源科学与工程,能源动力类,能源动力类,橙色中危,橙色,航空航天；交通海洋工程；计算机软件；电子信息集成电路；电气电力,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；硬实力提示：有本专业相关硕士点；但硬实力不抵消方向/热度落差。
030604+30,中国民用航空飞行学院,030604,30,应用气象学,大气科学类,大气科学类,橙色中危,橙色,航空航天；交通海洋工程；计算机软件；电子信息集成电路；电气电力,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；硬实力提示：有本专业相关硕士点；但硬实力不抵消方向/热度落差。
320505+20,中国民航大学,320505,20,材料物理,材料类,材料类,橙色中危,橙色,航空航天,与组内主体距离≥4，属于远缘混入。；硬实力提示：有本专业相关硕士点；但硬实力不抵消方向/热度落差。
320505+21,中国民航大学,320505,21,材料化学,材料类,材料类,橙色中危,橙色,航空航天,与组内主体距离≥4，属于远缘混入。；硬实力提示：有本专业相关硕士点，专业水平：省一；但硬实力不抵消方向/热度落差。
262113+24,中国海洋大学,262113,24,船舶与海洋工程,海洋工程类,海洋工程类,橙色中危,橙色,材料；计算机软件；电子信息集成电路；自动化仪器控制,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；与组内主体距离较远且热度落差明显。；硬实力提示：有本专业相关博士点，专业水平：国一/省重；但硬实力不抵消方向/热度落差。
262113+28,中国海洋大学,262113,28,材料类,材料类,材料类,橙色中危,橙色,材料；计算机软件；电子信息集成电路；自动化仪器控制,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；硬实力提示：学科评估：四轮：C，有本专业相关硕士点，专业水平：国一/卓越工程；但硬实力不抵消方向/热度落差。
030702+04,中国消防救援学院,030702,04,应急装备技术与工程,机械类,机械类,橙色中危,橙色,法学公安,与组内主体距离≥4，属于远缘混入。
030702+05,中国消防救援学院,030702,05,通信工程,电子信息类,电子信息类,橙色中危,橙色,法学公安,与组内主体距离≥4，属于远缘混入。
030702+06,中国消防救援学院,030702,06,飞行器控制与信息工程,航空航天类,航空航天类,橙色中危,橙色,法学公安,与组内主体距离≥4，属于远缘混入。
311804+12,中国石油大学(北京),311804,12,机械类,机械类,机械类,橙色中危,橙色,地矿地球物理,与组内主体距离≥4，属于远缘混入。；硬实力提示：学科评估：四轮：B，有本专业相关博士点，专业水平：国一/国特/省重；但硬实力不抵消方向/热度落差。
311804+15,中国石油大学(北京),311804,15,过程装备与控制工程,机械类,机械类,橙色中危,橙色,地矿地球物理,与组内主体距离≥4，属于远缘混入。；硬实力提示：学科评估：四轮：B，有本专业相关博士点，专业水平：国一；但硬实力不抵消方向/热度落差。
311804+22,中国石油大学(北京),311804,22,自动化,自动化类,自动化类,橙色中危,橙色,地矿地球物理,与组内主体距离≥4，属于远缘混入。；硬实力提示：学科评估：四轮：B-，有本专业相关博士点，专业水平：国一/国特；但硬实力不抵消方向/热度落差。
311804+23,中国石油大学(北京),311804,23,人工智能,电子信息类,电子信息类,橙色中危,橙色,地矿地球物理,与组内主体距离≥4，属于远缘混入。；硬实力提示：有本专业相关硕士点，专业水平：省一；但硬实力不抵消方向/热度落差。
311804+24,中国石油大学(北京),311804,24,电子信息工程,电子信息类,电子信息类,橙色中危,橙色,地矿地球物理,与组内主体距离≥4，属于远缘混入。；硬实力提示：有本专业相关硕士点，专业水平：省一；但硬实力不抵消方向/热度落差。
311804+25,中国石油大学(北京),311804,25,计算机科学与技术,计算机类,计算机类,橙色中危,橙色,地矿地球物理,与组内主体距离≥4，属于远缘混入。；硬实力提示：学科评估：四轮：B-，有本专业相关硕士点，专业水平：国一；但硬实力不抵消方向/热度落差。
311804+27,中国石油大学(北京),311804,27,数学与应用数学,数学类,数学类,橙色中危,橙色,地矿地球物理,与组内主体距离≥4，属于远缘混入。；硬实力提示：学科评估：四轮：C+，有本专业相关硕士点，专业水平：国一；但硬实力不抵消方向/热度落差。
311805+31,中国石油大学(北京),311805,31,化学工程与工艺,化工与制药类,化工与制药类,橙色中危,橙色,化工轻纺；地矿地球物理；计算机软件,信息类新工科主体组中出现材料/能动/管科/基础理学等非同赛道专业，严格版需提示。；硬实力提示：学科评估：四轮：A-，有本专业相关博士点，专业水平：国一；但硬实力不抵消方向/热度落差。
